Added,Retired,Box,Type,Label,Material,Set,Maker,Origin,Acquired,2020.ring,2020.order,2020.color,2021.ring,2021.order,2021.color
2020,FALSE,,Random,Sun,Clay,,Nikki Lau,America,Little Lau Shop,,,,,,
2020,FALSE,,Random,Moon,Clay,,Nikki Lau,America,Little Lau Shop,,,,,,
2020,FALSE,,Random,Egg Sunny Side Up,Clay,,Nikki Lau,America,"Little Lau Shop, Gift from Nikki",,,,,,
2020,FALSE,,Random,Avocado,Clay,,Nikki Lau,America,Little Lau Shop,,,,,,
2020,FALSE,,Random,Slide Viewmaster,Glass,,Unknown,Unknown,Etsy,,,,,,
2020,FALSE,,Random,Handmade cloth wreath,Cloth,,Homemade,Homemade,From Adele’s collection,,,,,,
2018,FALSE,,Random,Nurse Mouse made of cloth,Cloth,,Unknown,Unknown,Gift,,,,,,
2021,FALSE,,Random,Pink Popsicle,Glass,,Vondel’s,Netherlands,The Webster,,,,2,2,
2021,FALSE,,Sets,Large Set of Palladium Snowflakes (6 of each design),Metal,12,Georg Jensen,Denmark,Georg Jensen,,,,,,
2021,FALSE,,Sets,Wooden Bauhaus (1929 designed ornaments),Wood,24,IC Design,Germany,IC Design,,,,,,
2020,FALSE,,Sets,Vintage Candle Clips,Metal,15,Vintage,Unknown,Ebay,,,,,,
2020,FALSE,,Sets,Set of 4 glass candles with clips (red/gold),Glass/Metal,4,Vintage,Unknown,Ebay,,,,,,
2018,FALSE,BG Silver,Small Tree,Wooden Acorn Advent,Wood,25,Homemade,Homemade,Etsy,,,,,,
2019,FALSE,BG Silver,Small Tree,Hello Kitty in Boot (small),Plastic,,Sanrio,Japan,Japanese Festival in DC,,,,,,
2002,FALSE,BG Silver,Small Tree,Small Glass Ornaments from Leavenworth,Glass,12,Unknown,Unknown,Leavenworth,,,,,,
1990(s),FALSE,BG Silver,Small Tree,"Wooden Advent Ornaments (11 remaining, 8 nativity, 6 lost)",Wood,11,Unknown,Taiwain,Gift from Dave/Adele to E&O,,,,,,
2015,FALSE,BG Silver,Small Tree,Small Baubles from Japan,Glass,11,Vintage,Japan,Antique Store,,,,,,
2019,FALSE,,Snow Globes,Deer Cloche (set of 3),Glass,,Mackenzie Child,Unknown,Mackenzie Child,,,,,,
2019,FALSE,,Snow Globes,Deer Cloche (set of 3),Glass,,Mackenzie Child,Unknown,Mackenzie Child,,,,,,
2019,FALSE,,Snow Globes,Deer Cloche (set of 3),Glass,,Mackenzie Child,Unknown,Mackenzie Child,,,,,,
2020,FALSE,,Snow Globes,MET Snow Globe 1,Glass,,Morawski,Poland,The MET,,,,3,2,
2020,FALSE,,Snow Globes,MET Snow Globe 2,Glass,,Morawski,Poland,The MET,,,,3,4,
2020,FALSE,,Snow Globes,MET Snow Globe 3,Glass,,Morawski,Poland,The MET,,,,3,6,
2019,FALSE,,Snow White & the Seven Dwarves,Snow White,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,4,,8,1,
2018,FALSE,,Snow White & the Seven Dwarves,Evil Queen designed by Christian Lacroix,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,2,,8,3,
2019,FALSE,,Snow White & the Seven Dwarves,Dopey,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,8,,8,5,
2019,FALSE,,Snow White & the Seven Dwarves,Happy,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,9,#4048C9,8,7,
2019,FALSE,,Snow White & the Seven Dwarves,Doc,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,10,,8,9,
2019,FALSE,,Snow White & the Seven Dwarves,Sleepy,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,11,#4048C9,8,11,
2019,FALSE,,Snow White & the Seven Dwarves,Bashful,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,12,,8,13,
2019,FALSE,,Snow White & the Seven Dwarves,Sneezy,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,7,#4048C9,8,15,
2019,FALSE,,Snow White & the Seven Dwarves,Grumpy,Glass/Cloth,,De Carlini,Italy,Neiman Marcus,4,6,,8,17,
2019,FALSE,,Snow White & the Seven Dwarves,Stacked Pots in Green,Glass,,Le Creuset,France,Le Creuset,4,5,#4048C9,4,10,
2020,FALSE,,Snow White & the Seven Dwarves,Poisoned Apple,Crystal,,Swarvoski,Austria,Ebay,4,3,#4048C9,8,2,
2019,FALSE,,Snow White & the Seven Dwarves,Gnome Hunter,Glass,,Unknown,Unknown,Bloomingdale’s,4,1,#4048C9,4,6,
2008,FALSE,,Vinyl,Chipmunk Holiday Record,,,Unknown,Unknown,Gift from Emma,,,,,,
2021,FALSE,,Vinyl,Mariah Carey Christmas Album,,,Unknown,Unknown,Amazon,,,,,,
2021,FALSE,,Ziggy Stardust,“Just the Beer Light to Guide Us” blue garland,Paper,,Etsy,America,Etsy,,,,,,
2021,FALSE,,Ziggy Stardust,Ziggy Stardust Reindeer,Papermache,,Homemade by Me,Homemade,Homemade,,,,,,
2021,FALSE,,Ziggy Stardust,Spider from Mars 1 (blue),Papermache,,Homemade by Me,Homemade,Homemade,,,,,,
2021,FALSE,,Ziggy Stardust,Spider from Mars 2 (copper),Papermache,,Homemade by Me,Homemade,Homemade,,,,,,
